id,code,area,subarea,title,subtitle,authors,edition,volume,language,is_reserved
1111509278100,BIO-01.01,Biologia,1,Fundamentos de Bioquímica,,Albert L. Lehninger,1,0,1,0
7759158987697,BIO-01.01,Biologia,1,Principles of Biochemistry,,"Lehninger, Nelson, Cox",4,0,2,0
2998328527980,BIO-01.02,Biologia,1,Biochemistry,,"Voet, Voet",2,0,2,0
5270630810750,BIO-01.02,Biologia,1,Biochemistry,,"Voet, Voet",2,0,2,0
9651629749729,BIO-01.03,Biologia,1,Bioquimíca,,Mary K. Campbell,3,0,1,0
6619329654814,BIO-01.03,Biologia,1,Bioquimíca,,Mary K. Campbell,3,0,1,0
6269099794021,BIO-01.03,Biologia,1,Bioquimíca,,Mary K. Campbell,3,0,1,0
4602626167196,BIO-01.03,Biologia,1,Bioquimíca,Combo (Volumes 1-3),"Campbell, Farrell",5,0,1,0
7081862074098,BIO-01.04,Biologia,1,Bioquimíca,,"Stryer, Tymoczko, Berg",6,0,3,0
1932552998919,BIO-01.04,Biologia,1,Biochemistry,,Stryer,4,0,2,0
2827145780691,BIO-01.04,Biologia,1,Biochemistry,,Stryer,4,0,2,0
3016246941813,BIO-01.04,Biologia,1,Biochemistry,,Stryer,4,0,2,0
9140397901090,BIO-01.04,Biologia,1,Biochemistry,,Stryer,4,0,2,0
3650761110950,BIO-01.05,Biologia,1,Bioquimíca,,"Peña, Arroyo, Gómez, Tapia, Gómez",2,0,3,0
9224757262035,BIO-01.06,Biologia,1,Biochemistry,,"Garrett, Grisham",1,0,2,0
7454390391805,BIO-01.06,Biologia,1,Biochemistry,,"Garrett, Grisham",1,0,2,0
4346223505271,BIO-01.06,Biologia,1,Biochemistry,,"Garrett, Grisham",1,0,2,0
9297227330138,BIO-01.06,Biologia,1,Biochemistry,,"Garrett, Grisham",1,0,2,0
2386888917868,BIO-01.06,Biologia,1,Biochemistry,,"Garrett, Grisham",1,0,2,0
9249714297417,BIO-01.07,Biologia,1,Biochemistry,,"McGilvery, Goldstein",2,0,2,0
4118301120627,BIO-01.08,Biologia,1,Harper's Illustrated Biochemistry,,"Murray, Granner, Mayes, Rodwell",26,0,2,0
