id,code,area,subarea,title,subtitle,authors,edition,volume,language,is_reserved
2365972393399,BIO-03.01,Biologia,3,Evolutionary Genetics,,John Maynard Smith,1,0,2,0
7171023945104,CMP-03.05,Computação,3,Numerical Analysis,,"Burden, Faires",6,0,2,0
6337911671680,MAT-01.30 v.1,Matemática,1,Cours de Mathématiques Supérieures,,V. Smirnov,1,1,4,0
2271112335573,MAT-03.15,Matemática,3,Algèbre et Analyse Linèaires,,A. Lichnerowicz,1,0,4,0
7935786959750,MAT-04.19,Matemática,4,Théorie Élémentaire des Séries,,Alain Bouvier,1,0,4,0
5631037433179,MAT-06.05,Matemática,6,Introdução às Curvas Algébricas Planas,,Israel Vainsencher,1,0,1,0
5469919925708,MAT-07.08,Matemática,7,Theory and Problems of Finite Mathematics,,Seymour Lipschutz,1,0,2,0
3223556103163,MAT-08.01,Matemática,8,Equaçoes Diferenciais Aplicadas,,"Figueiredo, Neves",2,0,1,0
8245865945062,MAT-08.02,Matemática,8,Uma introdução às Equações Diferenciais Parciais,Para Estudantes de Ciências,G. Stephenson,1,0,1,0
9397314114983,MAT-08.03,Matemática,8,Equações Diferenciais Ordinárias,,V. Arnold,1,0,1,0
6873756471110,MAT-08.04,Matemática,8,Moderna Introdução às Equações Diferenciais,,Richard Bronson,1,0,1,0
4837540229099,MAT-08.05,Matemática,8,Fourier Series and Boundary Value Problems,,Ruel V. Churchill,2,0,2,0
7888155088066,MAT-08.05,Matemática,8,Fourier Series and Boundary Value Problems,,Ruel V. Churchill,2,0,2,0
9788967343590,MAT-09.01,Matemática,9,Introdução às Funções Complexas,,Luiz A. J. Medeiros,1,0,1,0
9202297243035,MAT-09.02,Matemática,9,Funções de uma Variável Complexa,,Geraldo S. S. Ávila,1,0,1,0
7571866972013,MAT-09.03,Matemática,9,Cálculo em Uma Variável Complexa,,Marcio G. Soares,3,0,1,0
6457774287849,MAT-09.04,Matemática,9,Introductory Complex Analysis,,Richard A. Silverman,1,0,2,0
2241842072086,MAT-09.05,Matemática,9,Variáveis Complexas e suas Aplicações,,Ruev V. Churchill,1,0,1,0
9214285944794,MAT-09.05,Matemática,9,Variáveis Complexas e suas Aplicações,,Ruev V. Churchill,1,0,1,0
1830171157086,QUI-01.13,Química,1,Handbook of Chemistry and Physics,,David R. Lide,71,0,2,0
1339594626242,BIO-01.12,Biologia,1,Biochemists' Handbook,,Cyril Long,1,0,2,0
1337020744096,VAR-01.01,Variados,1,O Que é a Vida?,O Aspecto Físico da Célula Viva,Erwin Schrödinger,1,0,1,0
5778168934677,VAR-01.02,Variados,1,Sobre as Leis da Física,,Richard Feynman,1,0,1,0
1679850256159,VAR-01.03,Variados,1,Convite à Física,,Yaav Ben-Dov,1,0,1,0
9146762463781,VAR-01.04,Variados,1,The Modern Aspect of Mathematics,,Lucienne Félix,1,0,2,0
7022298133355,VAR-02.01,Variados,2,A Mathematical History of The Golden Number,,Roger Herz-FIschler,1,0,2,0
4686753005149,VAR-02.02,Variados,2,Física e Filosofia,,Werner Heisenberg,4,0,1,0
5121385445059,VAR-02.03,Variados,2,Principia,The System of the World,Sir Isaac Newton,1,2,2,0
3371901761985,VAR-02.04,Variados,2,O Mundo ou Tratado da Luz,,René Descartes,1,0,1,0
4337293365414,VAR-02.05,Variados,2,Madame Curie,A Biography,Eve Curie,1,0,2,0
3912360401274,VAR-02.06,Variados,2,História da Matemática,,Carl B. Boyer,2,0,1,0
4753995696814,VAR-03.01,Variados,3,Lectures In The Sciences Of Complexity,A Lectures Volume in the Santa Fe Institute Studies in the Sciences of Complexity,Daniel L. Stein,1,1,2,0
6076027487302,VAR-03.01,Variados,3,1989 Lectures In The Sciences Of Complex Systems,A Lectures Volume in the Santa Fe Institute Studies in the Sciences of Complexity,Erica Jen,1,2,2,0
2272797961262,VAR-03.01,Variados,3,1990 Lectures In Complex Systems,A Lectures Volume in the Santa Fe Institute Studies in the Sciences of Complexity,"Nadel, Stein",1,3,2,0
5914691090040,VAR-03.01,Variados,3,Lattice Gas Methods For Partial Differential Equations,A Proceedings Volume in the Santa Fe Institute Studies in the Sciences of Complexity,Gary Doolen,1,4,2,0
7454515243996,VAR-03.01,Variados,3,Molecular Evolution On Rugged Landscapes,A Proceedings Volume in the Santa Fe Institute Studies in the Sciences of Complexity,"Perelson, Kauffman",1,9,2,0
