id,code,area,subarea,title,subtitle,authors,edition,volume,language,is_reserved
2422839558947,VAR-03.01 - começar aqui,Variados,3,The Evolution Of Human Languages,A Proceedings Volume in the Santa Fe Institute Studies in the Sciences of Complexity,"Hawkins, Gell-Mann",1,11,2,0
2064786336355,VAR-03.01,Variados,3,Complex Systems Dynamics,A Lecture Notes Volume in the Santa Fe Institute Studies in the Sciences of Complexity,G. Weisbuch,1,2,2,0
8799634084945,VAR-03.01,Variados,3,Artificial Life,A Proceedings Volume in the Santa Fe Institute Studies in the Sciences of Complexity,Christopher G. Langton,1,1,2,0
1760861743698,VAR-03.01,Variados,3,Artificial Life,A Proceedings Volume in the Santa Fe Institute Studies in the Sciences of Complexity,Christopher G. Langton,1,2,2,0
3906699446631,VAR-03.01,Variados,3,Computers and DNA,A Proceedings Volume in the Santa Fe Institute Studies in the Sciences of Complexity,"Bell, Marr",1,7,2,0
2593299959862,VAR-03.02,Variados,3,Obra CIentífica de Mario Schiönberg,1936 a 1948,Amélia Império Hamburger,1,1,4,0
1775779598964,VAR-03.02,Variados,3,Obra CIentífica de Mario Schiönberg,1949 a 1987,Amélia Império Hamburger,1,2,4,0
3275563136344,VAR-03.03,Variados,3,Consciência e Linguagem,,John R. Searle,1,0,1,0
9653589686083,VAR-03.04,Variados,3,Linguística Cognitiva,Uma Visão Geral e Aplicada,Antônio Suárez Abreu,1,0,1,0
9898708087567,VAR-03.05,Variados,3,Physics of Finance,Gauge Modelling in Non-equilibrium Pricing,Kirill Ilinski,1,0,2,0
6805316427510,VAR-03.06,Variados,3,Microeletrônica,,"Sedra, Smith",4,0,1,0
2529479857291,VAR-03.07,Variados,3,Física para Ciências Biológicas e Biomédicas,,"Okuno, Caldas, Chow",1,0,1,0
3101130473133,VAR-03.08,Variados,3,Microbial Inhibitors in Food,,Fourth International Symposium on Food Microbiology,1,0,2,0
5464331791887,VAR-03.09,Variados,3,"Energia, Meio Ambiente e Desenvolvimento",,"Goldemberg, Lucon",3,0,1,0
9777458878031,VAR-03.10,Variados,3,Modelagem e Simulação,de Processos Industriais e de Sistemas Eletromecânicos,Claudio Garcia,1,0,1,0
5739177673339,VAR-03.11,Variados,3,"Matemática para os Cursos de Economia, Administração e Ciências Contábeis",,Medeiros da Silva,3,1,1,0
2360838037028,VAR-03.12,Variados,3,Multivariable Feedback Control,Analysis and Design,"Skogestad, Postlehwaite",2,0,2,0
7608954672347,VAR-03.13,Variados,3,Engenharia de Controle Moderno,,Katsuhiko Ogata,4,0,1,0
5841907561639,VAR-04.01,Variados,4,Dicionário de Provérbios,"Francês, Português, Inglês","Lacerda, Lacerda, Abreu",1,0,4,0
2795727315879,VAR-04.02,Variados,4,Sem Rei Nem Bar Somente Osmar,,Osmar Afrísio dos Santos,1,0,1,0
6732202279932,FIS-01.17,Física,1,Manual de Laboratório de Física,,"Albuquerque, Yoe, Tobelem, Pinto",1,0,1,0
4085966916028,BIO-01.13,Biologia,1,Manual de Quimica Fisiologica,,Harold A. Harper,1,0,3,0
8328298196390,FIS-01.04  v.2,Física,1,Course of Theoretical Physics,The Classical Theory of Fields,"Landau, Lifshitz",4,2,2,0
5417171798905,FIS-01.05  v.1,Física,1,Física,,"Halliday, Resnick",1,1,1,0
9020196922307,MAT-03.05,Matemática,3,Álgebra Linear e Geometria Eucliana,,Alexandre A. M. Rodrigues,5,0,1,0
7938258223182,FIS-01.03  v.3,Física,1,Berkeley Physics Course,Ondas,Frank S. Crawford Jr.,1,3,3,0
6625360727141,CMP-04.13 v.1,Computação,4,Estatística,,Victor Mirshawka,4,1,1,0
2751791045692,CMP-04.13 v.2,Computação,4,Estatística,,Victor Mirshawka,3,2,1,0
3416753293540,CMP-04.13 v.3,Computação,4,Estatística,,Victor Mirshawka,1,3,1,0
5899561036192,CMP-04.13 v.1,Computação,4,Exercícios de Estatística,,Victor Mirshawka,1,1,1,0
2063385797512,MAT-02.07,Matemática,2,Geometria Analítica,,Charles H. Lehmann,1,0,1,0
4497774975140,MAT-03.16,Matemática,3,Álgebra Linear,,"Hoffman, Kunze",1,0,1,0
5333065699687,MAT-03.17,Matemática,3,Elementos de Álgebra Vetorial,Uma Iniciação à Álgebra Linear,Roberto de Barros Lima,1,0,1,0
1012743578462,MAT-06.06,Matemática,6,Teoremas Famosos da Geometria,,"Gerdes, Cherinda",1,0,1,0
8127981482495,VAR-03.14,Variados,3,A Economia em Linguagem Matemática,,Robert C. Bingham,1,0,1,0
3531727018179,MAT-03.18,Matemática,3,Linear Algebra,,G. Hadley,1,0,2,0
5832408329613,MAT-06.07,Matemática,6,Poliedros,,Alcyr Pinheiro Rangel,1,0,1,0
