id,code,area,subarea,title,subtitle,authors,edition,volume,language,status
1012743578462,MAT-06.06,Matemática,Topologia e Geometria,Teoremas Famosos da Geometria,,"Gerdes, Cherinda",1,0,Português,disponível
1110741114658,FIS-03.04,Física,Termodinâmica,Heat Transfer,,Alan J. Chapman,2,0,Inglês,disponível
1111509278100,BIO-01.01,Biologia,Bioquímica,Fundamentos de Bioquímica,,Albert L. Lehninger,1,0,Português,disponível
1119651570103,FIS-03.06,Física,Termodinâmica,Princípios da Transmissão de Calor,,Frank Kreith,3,0,Português,disponível
1128721005575,MAT-07.03,Matemática,Lógica e Fundamentos,Elementos de Teoria dos Conjuntos,,Benedito Castrucci,1,0,Português,disponível
1138771019231,MAT-01.06,Matemática,Cálculo,A First Course in Calculus,,Serge Lang,5,0,Inglês,disponível
1155192615767,MAT-01.10 v.1,Matemática,Cálculo,O Cálculo com Geometria Analítica,,Louis Leithold,3,1,Português,disponível
1173162052404,FIS-01.05 v.4,Física,Física Geral,Física,,"Halliday, Resnick",4,4,Português,disponível
1196425217150,BIO-05.01,Biologia,Desenvolvimento,Developmental Biology,,Scott F. Gilbert,5,0,Inglês,disponível
1202054802824,FIS-01.07 v.1,Física,Física Geral,Física,Mecânica,"Sears, Zemansky, Young, Freedman",10,1,Português,disponível
1217434752606,MAT-01.10 v.1,Matemática,Cálculo,O Cálculo com Geometria Analítica,,Louis Leithold,2,1,Português,disponível
1233033909272,MAT-01.02,Matemática,Cálculo,Calculus,Cálculo Infinitesimal,Michael Spivak,2,0,Espanhol,disponível
1236333357422,MAT-02.07,Matemática,Geometria Analítica,Geometria Analítica,,Charles H. Lehmann,3,0,Português,disponível
1259021275105,FIS-01.02 v.1,Física,Física Geral,Curso de Física Básica,Mecânica,H. Moysés Nussenzveig,5,1,Português,disponível
1279374872424,MAT-05.01,Matemática,Álgebra Abstrata,Álgebra,Um Curso de Introdução,"Garcia, Lequain",1,0,Português,disponível
1292849817362,MAT-05.11,Matemática,Álgebra Abstrata,Tópicos em Teoria dos Grupos Finitos,,"Maier, Ho, Gonçalves, Pomareda",1,0,Português,disponível
1303387661703,CMP-03.03,Computação,Análise Numérica,Numerical Recipes in C,,"Press, Flannery, Teukolsky, Vetterling",2,0,Inglês,disponível
1327065577773,FIS-06.01 v.1,Física,Física Matemática,Métodos Matemáticos,,"Vaz Jr., Oliveira",1,1,Português,disponível
1329210634003,CMP-02.04,Computação,Algoritmos e Estruturas de Dados,Desenvolvimento de Algoritmos e Complexidade de Computação,,Routo Terada,1,0,Português,disponível
1337020744096,VAR-01.01,Variados,Divulgação Científica,O Que é a Vida?,O Aspecto Físico da Célula Viva,Erwin Schrödinger,1,0,Português,emprestado
1338489952152,CMP-03.02,Computação,Análise Numérica,Analysis of Numerical Methods,,"Isaacson, Keller",1,0,Inglês,disponível
1339594626242,BIO-01.12,Biologia,Bioquímica,Biochemists' Handbook,,Cyril Long,1,0,Inglês,disponível
1347827664817,CMP-03.03,Computação,Análise Numérica,Numerical Recipes in C,,"Press, Flannery, Teukolsky, Vetterling",2,0,Inglês,disponível
1376690819321,FIS-01.04 v.1,Física,Física Geral,Physique Théorique,Mécanique,"Lifshitz, Pitaevskii",2,1,Outro,disponível
1388350908016,FIS-02.01,Física,Mecânica,Introduction to Classical Mechanics,Solutions Manual,David Morin,1,0,Inglês,disponível
1423469019427,CMP-03.06,Computação,Análise Numérica,Numerical Analysis,,"Kincaid, Cheney",3,0,Inglês,disponível
1425609188383,FIS-03.01,Física,Termodinâmica,Understanding Thermodynamics,,Hendrick C. Van Ness,1,0,Inglês,disponível
1443362211599,BIO-03.02,Biologia,Genética e Evolução,The Making of a Fly,The Genetics of Animal Design,P. A. Lawrence,1,0,Inglês,disponível
1445024834214,MAT-03.14,Matemática,Álgebra Linear,Álgebra Linear: Exercícios,,"Barreira, Valls",1,0,Português,disponível
1457513004954,BIO-03.05,Biologia,Genética e Evolução,What Evolution Is,,Ernst Mayr,1,0,Inglês,disponível
1482297689295,MAT-01.06,Matemática,Cálculo,A First Course in Calculus,,Serge Lang,5,0,Inglês,disponível
1490966893829,MAT-01.28 v.1,Matemática,Cálculo,Fórmula Matemática,Cálculo Diferencial e Curvas Planas,Ueda Keikyu,1,1,Outro,disponível
1535306462522,CMP-01.03,Computação,Fundamentos de Computação,Python Programming,,John M. Zelle,1,0,Inglês,disponível
1587087844103,MAT-04.08,Matemática,Análise,Problemas e Exercícios de Análise Matemática,,B. Demidovitch,6,0,Português,disponível
1631039378380,QUI-04.03 v.2,Química,Química Orgânica,Química Orgânica,,John McMurry,7,2,Português,disponível
1636866072685,FIS-07.02,Física,Astronomia e Astrofísica,Astronomia e astrofisica,,"Oliveira Filho, Saraiva",1,0,Português,disponível
1638971844027,FIS-02.02 v.2,Física,Mecânica,Mecânica Clássica,,Kazunori Watari,1,2,Português,disponível
1641011361408,QUI-04.02 v.1,Química,Química Orgânica,Química Orgânica,Curso Básico Universitário,Maurício Gomes Constantino,1,1,Português,disponível
1651034645003,MAT-01.04 v.2,Matemática,Cálculo,Introdução ao Cálculo,,Paulo Boulos,1,2,Português,disponível
1654291301392,FIS-01.01 v.3,Física,Física Geral,The Feynman Lectures on Physics,Commemorative Issue,"Feynman, Leighton, Sands",1,3,Inglês,disponível
1679850256159,VAR-01.03,Variados,Divulgação Científica,Convite à Física,,Yaav Ben-Dov,1,0,Português,disponível
1710267460705,FIS-04.04,Física,Eletromagnetismo,Plasma Dynamics,,R. O. Dendy,1,0,Inglês,disponível
1710692063502,FIS-06.01 v.3,Física,Física Matemática,Métodos Matemáticos,,"Vaz Jr., Oliveira",1,3,Português,disponível
1719266720926,MAT-04.13,Matemática,Análise,Espaços Métricos,,Elon Lages Lima,1,0,Português,disponível
1746378915711,MAT-01.27,Matemática,Cálculo,Theory and Problems of Advanced Calculus,,Murray R. Spiegel,1,0,Inglês,disponível
1748335635441,FIS-01.01 v.2,Física,Física Geral,The Feynman Lectures on Physics,Commemorative Issue,"Feynman, Leighton, Sands",1,2,Inglês,disponível
1760861743698,VAR-03.01,Variados,Interdisciplinares,Artificial Life,A Proceedings Volume in the Santa Fe Institute Studies in the Sciences of Complexity,Christopher G. Langton,1,2,Inglês,disponível
1768107062916,BIO-05.01,Biologia,Desenvolvimento,Developmental Biology,,Scott F. Gilbert,5,0,Inglês,disponível
1772432916141,MAT-03.05,Matemática,Álgebra Linear,Álgebra Linear e Geometria Eucliana,,Alexandre A. M. Rodrigues,5,0,Português,disponível
1775779598964,VAR-03.02,Variados,Interdisciplinares,Obra CIentífica de Mario Schiönberg,1949 a 1987,Amélia Império Hamburger,1,2,Outro,disponível
1815867741725,QUI-02.01,Química,Fisico-Química,Physical Chemistry,,Peter William Atkins,4,0,Inglês,disponível
1830171157086,QUI-01.13,Química,Química Geral,Handbook of Chemistry and Physics,,David R. Lide,71,0,Inglês,disponível
1831729069813,FIS-03.05,Física,Termodinâmica,Fundamentos de Transferência de Calor e de Massa,,Frank P. Incropera,6,0,Português,disponível
1837099869824,FIS-01.01 v.3,Física,Física Geral,The Feynman Lectures on Physics,Commemorative Issue,"Feynman, Leighton, Sands",1,3,Inglês,disponível
1872703038661,FIS-05.01,Física,Física Moderna,Mecânica Quântica,,Antonio F. R. De Toledo Piza,1,0,Português,disponível
1875029794020,MAT-01.03 v.4,Matemática,Cálculo,Um Curso de Cálculo,,Hamilton Luiz Guidorizzi,5,4,Português,disponível
1879624240029,FIS-07.03,Física,Astronomia e Astrofísica,An Introduction to the Study of Stellar Structure,,Subrahmanyan Chandrasekhar,1,0,Inglês,disponível
1927632515049,CMP-05.06,Computação,Teoria da Computação,Introdução aos Espaços de Escalas,,"Velho, Texeira, Gomes",1,0,Português,disponível
1932552998919,BIO-01.04,Biologia,Bioquímica,Biochemistry,,Stryer,4,0,Inglês,disponível
1953983383426,BIO-04.03,Biologia,Biologia de Sistemas,Fundamentos da Neurociência e do Comportamento,,"Kandel, Schwartz, Jessell",1,0,Português,disponível
1966299964456,QUI-04.01,Química,Química Orgânica,Química Orgânica,,"Allinger, Cava, de Jongh, Johnson, Lebel, Stevens",2,0,Português,disponível
