code,title,authors,area,subarea,edition,language,volume,subtitle,isbn,year,publisher,barcode
BIO-01.01,Fundamentos de Bioquímica,Albert L. Lehninger,BIO,,1,1,,,,,,
BIO-01.01,Principles of Biochemistry,"Albert L. Lehninger, David L. Nelson, Michael M. Cox",BIO,,4,2,,,,,,
BIO-01.01,Principles of Biochemistry,"Albert L. Lehninger, David L. Nelson, Michael M. Cox",BIO,,2,2,,,,,,
BIO-01.02,Biochemistry,"Donald Voet, Judith G. Voet",BIO,,2,2,,,,,,
BIO-01.02,Biochemistry,"Donald Voet, Judith G. Voet",BIO,,2,2,,,,,,
BIO-01.03,Bioquímica,"Mary K. Campbell, Shawn O. Farrell",BIO,,5,1,,Combo (Volumes 1-3),,,,
BIO-01.03,Bioquimíca,Mary K. Campbell,BIO,,3,1,,,,,,
BIO-01.03,Bioquimíca,Mary K. Campbell,BIO,,3,1,,,,,,
BIO-01.03,Bioquimíca,Mary K. Campbell,BIO,,3,1,,,,,,
BIO-01.04,Bioquímica,"Lubert Stryer, John L. Tymoczko, Jeremy M. Berg",BIO,,6,1,,,,,,
BIO-01.04,Biochemistry,"Lubert Stryer, John L. Tymoczko, Jeremy M. Berg",BIO,,4,2,,Short Course in Biochemistry,,,,
BIO-01.04,Biochemistry,"Lubert Stryer, John L. Tymoczko, Jeremy M. Berg",BIO,,4,2,,Short Course in Biochemistry,,,,
BIO-01.04,Biochemistry,"Lubert Stryer, John L. Tymoczko, Jeremy M. Berg",BIO,,4,2,,Short Course in Biochemistry,,,,
BIO-01.04,Bioquímica,"Lubert Stryer, Manuel Pérez",BIO,,1,3,,,,,,
BIO-01.04,Biochemistry,"Lubert Stryer, John L. Tymoczko, Jeremy M. Berg",BIO,,4,2,,Short Course in Biochemistry,,,,
BIO-01.05,Bioquímica,"Antonio Peña, Ángel Arroyo, Armando Gómez, Ricardo Tapia, Carmen Gómez",BIO,,2,3,,,,,,
BIO-01.06,Biochemistry,"Reginald H. Garrett, Charles M. Grisham",BIO,,1,2,,,,,,
BIO-01.06,Biochemistry,"Reginald H. Garrett, Charles M. Grisham",BIO,,1,2,,,,,,
BIO-01.06,Biochemistry,"Reginald H. Garrett, Charles M. Grisham",BIO,,1,2,,,,,,
BIO-01.06,Biochemistry,"Reginald H. Garrett, Charles M. Grisham",BIO,,1,2,,,,,,
BIO-01.06,Biochemistry,"Reginald H. Garrett, Charles M. Grisham",BIO,,1,2,,,,,,
BIO-01.07,Biochemistry,"Robert W. McGilvery, Gerald Goldstein",BIO,,2,2,,A Functional Approach,,,,
BIO-01.08,Harper's Illustrated Biochemistry,"Robert K. Murray, Darryl K. Granner, Peter A. Mayes, Victor W. Rodwell",BIO,,26,2,,,,,,
BIO-01.09,Bioquímica,"Gilberto G. Vilela, Metry Bacila, Henrique Tastaldi",BIO,,1,1,,,,,,
BIO-01.10,The Mitochondrion,Albert L. Lehninger,BIO,,1,2,,Molecular Basics of Structure and Function,,,,
BIO-01.11,Bioenergetics,Albert L. Lehninger,BIO,,1,2,,,,,,
BIO-01.12,Biochemical and Clinical Aspects of Hemoglobin Abnormalities,Helen Caughey,BIO,,1,2,,,,,,
FIS-01.01  v.2,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,2,Commemorative Issue,,,,
FIS-01.01  v.2,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,2,,,,,
FIS-01.01  v.2,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,2,Commemorative Issue,,,,
FIS-01.01  v.2,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,2,Commemorative Issue,,,,
FIS-01.01  v.2,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,2,Commemorative Issue,,,,
FIS-01.01  v.2,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,2,,,,,
FIS-01.01  v.2,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,2,,,,,
FIS-01.01  v.2,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,2,Commemorative Issue,,,,
FIS-01.01  v.2,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,2,Commemorative Issue,,,,
FIS-01.01  v.2,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,2,,,,,
FIS-01.01  v.2,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,2,Commemorative Issue,,,,
FIS-01.01  v.3,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,3,Commemorative Issue,,,,
FIS-01.01  v.3,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,3,,,,,
FIS-01.01  v.3,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,3,Commemorative Issue,,,,
FIS-01.01  v.3,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,3,Commemorative Issue,,,,
FIS-01.01  v.3,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,3,Commemorative Issue,,,,
FIS-01.01  v.3,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,3,Commemorative Issue,,,,
FIS-01.01  v.3,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,3,,,,,
FIS-01.01  v.3,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,3,Commemorative Issue,,,,
FIS-01.01  v.3,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,3,,,,,
FIS-01.01  v.3,The Feynman Lectures on Physics,"Richard Phillips Feynman, Robert B. Leighton, Matthew Linzee Sands",FIS,,1,2,3,,,,,
FIS-01.02  v.1,Curso de física básica,H. Moysés Nussenzveig,FIS,,2,1,1,Mecânica,,,,
FIS-01.02  v.1,Curso de física básica,H. Moysés Nussenzveig,FIS,,1,1,1,Mecânica,,,,
FIS-01.02  v.1,Curso de física básica,H. Moysés Nussenzveig,FIS,,2,1,1,Mecânica,,,,
FIS-01.02  v.1,Curso de física básica,H. Moysés Nussenzveig,FIS,,3,1,1,Mecânica,,,,
FIS-01.02  v.1,Curso de física básica,H. Moysés Nussenzveig,FIS,,5,1,1,Mecânica,,,,
FIS-01.02  v.2,Curso de física básica,H. Moysés Nussenzveig,FIS,,3,1,2,"Fluidos, Oscilações e Ondas, Calor",,,,
FIS-01.02  v.2,Curso de Física Básica,H. Moysés Nussenzveig,FIS,,2,1,2,"Fluidos, Oscilações e Ondas, Calor",,,,
FIS-01.02  v.2,Curso de Física Básica,H. Moysés Nussenzveig,FIS,,2,1,2,"Fluidos, Oscilações e Ondas, Calor",,,,
FIS-01.02  v.3,Curso de física básica,H. Moysés Nussenzveig,FIS,,1,1,3,Eletromagnetismo,,,,
FIS-01.03  v.1,Berkeley Physics Course,"Charles Kittel, Walter D. Knight",FIS,,2,3,1,Mecánica,,,,
FIS-01.03  v.1,Berkeley Physics Course,"Charles Kittel, Walter D. Knight",FIS,,2,3,1,Mecánica,,,,
FIS-01.03  v.1,Curso de Física de Berkeley,"Charles Kittel, Walter D. Knight, Malvin A. Ruderman",FIS,,1,1,1,Mecânica,,,,
FIS-01.03  v.2,Berkeley Physics Course,Edward M. Purcell,FIS,,2,3,2,Electricidad y Magnetismo,,,,
FIS-01.03  v.3,Berkeley Physics Course,Frank S. Crawford,FIS,,1,3,3,Ondas,,,,
FIS-01.03  v.3,Berkeley Physics Course,Frank S. Crawford,FIS,,1,3,3,Ondas,,,,
FIS-01.03  v.4,Berkeley Physics Course,Eyvind H. Wichmann,FIS,,1,3,4,Física Cuántica,,,,
FIS-01.03  v.5,Berkeley Physics Course,F. Reif,FIS,,1,3,5,Física Estadística,,,,
FIS-01.04  v.1,Landau et Lifchitz Physique Théorique,"E. M. Lifshitz, L. P. Pitaevskii",FIS,,2,2,1,Mécanique,,,,
FIS-01.04  v.1,Landau et Lifchitz Physique Théorique,"E. M. Lifshitz, L. P. Pitaevskii",FIS,,2,2,1,Mécanique,,,,
FIS-01.04  v.2,Landau et Lifchitz Physique Théorique,"L. Landau, E. Lifchitz",FIS,,2,4,2,Théorie du Champ,,,,
FIS-01.04  v.3,Landau et Lifchitz Physique Théorique,"L. Landau, E. Lifchitz",FIS,,3,4,3,Mécanique Quantique,,,,
FIS-01.04  v.3,Landau and Lifshitz Course of Theoretical Physics,"L. D. Landau, E. M. Lifshitz",FIS,,3,2,3,Quantum Mechanics (Non-relativistic Theory),,,,
FIS-01.04  v.3,Landau and Lifshitz Course of Theoretical Physics,"L. D. Landau, E. M. Lifshitz",FIS,,3,2,3,Quantum Mechanics (Non-relativistic Theory),,,,
FIS-01.04  v.5,Landau and Lifshitz Course of Theoretical Physics,"L. D. Landau, E.M. Lifshitz",FIS,,3,2,5,Statistical Physics Part 1,,,,
FIS-01.04  v.5,Landau et Lifchitz Physique Théorique,"L. Landau, E. Lifchitz",FIS,,3,4,5,"Physique Statistique, Primiére Partie",,,,
FIS-01.04  v.5,Landau and Lifshitz Course of Theoretical Physics,"L. D. Landau, E.M. Lifshitz",FIS,,3,2,5,Statistical Physics Part 1,,,,
FIS-01.04  v.7,Landau et Lifchitz Physique Théorique,"L. Landau, E. Lifchitz",FIS,,2,4,7,Théorie de l'élasticité,,,,
